IP,ORIGIN,CERT_DOMAIN,CERT_ISSUER,GEO_CODE
140.245.46.182,140.245.46.182,8760000.xyz,Let's Encrypt,N/A
140.245.40.35,140.245.40.35,famisense.app,Let's Encrypt,N/A
140.245.46.206,140.245.46.206,oracle.smslog.in,Let's Encrypt,N/A
140.245.40.14,140.245.40.14,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.46.227,140.245.46.227,arpsso.j0yy.com,Let's Encrypt,N/A
140.245.46.233,140.245.46.233,inlate.com,Let's Encrypt,N/A
140.245.47.4,140.245.47.4,hcp.globalmigrant.biz.id,Let's Encrypt,N/A
140.245.39.210,140.245.39.210,oracle-sg2.bili.me,Let's Encrypt,N/A
140.245.39.172,140.245.39.172,hcp.intactagro.net,Let's Encrypt,N/A
140.245.39.169,140.245.39.169,arm2.sgp2.seiry.eu.org,Let's Encrypt,N/A
140.245.47.68,140.245.47.68,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.47.78,140.245.47.78,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.39.151,140.245.39.151,localhost,FIT2CLOUD,N/A
140.245.39.134,140.245.39.134,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.47.115,140.245.47.115,iagro.cpnit.com,Let's Encrypt,N/A
140.245.47.130,140.245.47.130,lab.covai.org,Let's Encrypt,N/A
140.245.39.98,140.245.39.98,dh.qudesign.cn,Let's Encrypt,N/A
140.245.47.129,140.245.47.129,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.39.136,140.245.39.136,Cloudflare,"Cloudflare, Inc.",N/A
140.245.47.150,140.245.47.150,localhost,FIT2CLOUD,N/A
140.245.47.146,140.245.47.146,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.39.73,140.245.39.73,img.qezc.com,Sectigo Limited,N/A
140.245.47.183,140.245.47.183,*.rtx.al,Let's Encrypt,N/A
140.245.39.50,140.245.39.50,localhost,FIT2CLOUD,N/A
140.245.47.201,140.245.47.201,cobalt.gongj.top,Let's Encrypt,N/A
140.245.39.8,140.245.39.8,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.39.1,140.245.39.1,sg4.151525.xyz,Let's Encrypt,N/A
140.245.38.248,140.245.38.248,probe.srhaze.com,Let's Encrypt,N/A
140.245.47.238,140.245.47.238,963888.xyz,Let's Encrypt,N/A
140.245.47.240,140.245.47.240,mail.scun.edu.gr,ZeroSSL,N/A
140.245.47.236,140.245.47.236,oracle.7yuedefeng.top,Organization,N/A
140.245.48.19,140.245.48.19,oracle.tmtunnels.tech,Let's Encrypt,N/A
